month,year,month_name,overall_cpi,yoy_inflation,source_file,date
2,2020,February,107.174,7.17,Kenya-Consumer-Price-Indices-and-Inflation-Rates-October-2020.pdf,2020-02-01
3,2020,March,107.475,5.84,Kenya-Consumer-Price-Indices-and-Inflation-Rates-October-2020.pdf,2020-03-01
4,2020,April,108.495,6.01,Kenya-Consumer-Price-Indices-and-Inflation-Rates-October-2020.pdf,2020-04-01
5,2020,May,108.602,5.33,Kenya-Consumer-Price-Indices-and-Inflation-Rates-October-2020.pdf,2020-05-01
6,2020,June,108.266,4.59,Kenya-Consumer-Price-Indices-and-Inflation-Rates-October-2020.pdf,2020-06-01
7,2020,July,108.354,4.36,Kenya-Consumer-Price-Indices-and-Inflation-Rates-October-2020.pdf,2020-07-01
8,2020,August,108.573,4.36,Kenya-Consumer-Price-Indices-and-Inflation-Rates-October-2020.pdf,2020-08-01
9,2020,September,108.571,4.2,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2021.pdf,2020-09-01
10,2020,October,109.604,4.84,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2021.pdf,2020-10-01
11,2020,November,110.779,5.33,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2021.pdf,2020-11-01
12,2020,December,111.866,5.62,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2021.pdf,2020-12-01
1,2021,January,112.576,5.69,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2021.pdf,2021-01-01
2,2021,February,113.365,5.78,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2021.pdf,2021-02-01
3,2021,March,113.814,5.9,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2021.pdf,2021-03-01
4,2021,April,114.746,5.76,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2021.pdf,2021-04-01
5,2021,May,114.977,5.87,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2021.pdf,2021-05-01
6,2021,June,115.11,6.32,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2021.pdf,2021-06-01
7,2021,July,115.446,6.55,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2021.pdf,2021-07-01
8,2021,August,115.71,6.57,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2021.pdf,2021-08-01
9,2021,September,116.08,6.9,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2022.pdf,2021-09-01
10,2021,October,116.67,6.4,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2022.pdf,2021-10-01
11,2021,November,117.2,5.8,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2022.pdf,2021-11-01
12,2021,December,118.27,5.7,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2022.pdf,2021-12-01
1,2022,January,118.64,5.4,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2022.pdf,2022-01-01
2,2022,February,119.13,5.1,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2022.pdf,2022-02-01
3,2022,March,120.14,5.6,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2022.pdf,2022-03-01
4,2022,April,122.17,6.5,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2022.pdf,2022-04-01
5,2022,May,123.12,7.1,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2022.pdf,2022-05-01
6,2022,June,124.22,7.9,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2022.pdf,2022-06-01
7,2022,July,125.05,8.3,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2022.pdf,2022-07-01
8,2022,August,125.58,8.5,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2022.pdf,2022-08-01
9,2022,September,126.73,9.2,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2022.pdf,2022-09-01
10,2022,October,127.86,9.6,Kenya-Consumer-Price-Indices-and-Inflation-Rates-October-2022.pdf,2022-10-01
11,2022,November,128.31,9.5,Kenya-Consumer-Price-Indices-and-Inflation-Rates-June-2023.pdf,2022-11-01
12,2022,December,128.99,9.1,Kenya-Consumer-Price-Indices-and-Inflation-Rates-June-2023.pdf,2022-12-01
1,2023,January,129.29,9.0,Kenya-Consumer-Price-Indices-and-Inflation-Rates-June-2023.pdf,2023-01-01
2,2023,February,130.13,9.2,Kenya-Consumer-Price-Indices-and-Inflation-Rates-June-2023.pdf,2023-02-01
3,2023,March,131.18,9.2,Kenya-Consumer-Price-Indices-and-Inflation-Rates-March-2024.pdf,2023-03-01
4,2023,April,131.83,7.9,Kenya-Consumer-Price-Indices-and-Inflation-Rates-March-2024.pdf,2023-04-01
5,2023,May,133.01,8.0,Kenya-Consumer-Price-Indices-and-Inflation-Rates-March-2024.pdf,2023-05-01
6,2023,June,134.01,7.9,Kenya-Consumer-Price-Indices-and-Inflation-Rates-March-2024.pdf,2023-06-01
7,2023,July,134.15,7.3,Kenya-Consumer-Price-Indices-and-Inflation-Rates-March-2024.pdf,2023-07-01
8,2023,August,134.02,6.7,Kenya-Consumer-Price-Indices-and-Inflation-Rates-March-2024.pdf,2023-08-01
9,2023,September,135.32,6.8,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2024.pdf,2023-09-01
10,2023,October,136.71,6.9,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2024.pdf,2023-10-01
11,2023,November,137.03,6.8,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2024.pdf,2023-11-01
12,2023,December,137.55,6.6,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2024.pdf,2023-12-01
1,2024,January,138.15,6.9,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2024.pdf,2024-01-01
2,2024,February,138.34,6.3,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2024.pdf,2024-02-01
3,2024,March,138.66,5.7,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2024.pdf,2024-03-01
4,2024,April,138.4,5.0,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2024.pdf,2024-04-01
5,2024,May,139.64,5.0,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2024.pdf,2024-05-01
6,2024,June,140.23,4.6,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2024.pdf,2024-06-01
7,2024,July,139.94,4.3,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2024.pdf,2024-07-01
8,2024,August,139.87,4.4,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2024.pdf,2024-08-01
9,2024,September,140.13,3.6,Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2024.pdf,2024-09-01
10,2024,October,140.44,2.7,Kenya-Consumer-Price-Indices-and-Inflation-Rates-November-2024.pdf,2024-10-01
11,2024,November,140.81,2.8,Kenya-Consumer-Price-Indices-and-Inflation-Rates-November-2024.pdf,2024-11-01
12,2024,December,141.66,3.0,Kenya-Consumer-Price-Indices-and-Inflation-Rates-May-2025_1.pdf,2024-12-01
1,2025,January,142.68,3.3,Kenya-Consumer-Price-Indices-and-Inflation-Rates-May-2025_1.pdf,2025-01-01
2,2025,February,143.12,3.5,Kenya-Consumer-Price-Indices-and-Inflation-Rates-May-2025_1.pdf,2025-02-01
3,2025,March,143.69,3.6,Kenya-Consumer-Price-Indices-and-Inflation-Rates-May-2025_1.pdf,2025-03-01
4,2025,April,144.09,4.1,Kenya-Consumer-Price-Indices-and-Inflation-Rates-May-2025_1.pdf,2025-04-01
5,2025,May,144.88,3.8,Kenya-Consumer-Price-Indices-and-Inflation-Rates-May-2025_1.pdf,2025-05-01
