source,title,url,date,scraped_at,year,month,title_clean,counties_mentioned,commodities_mentioned,county_count,commodity_count,title_length,word_count
Kenya News Agency,Sugarcane farming cut to focus on food production,https://www.kenyanews.go.ke/sugarcane-farming-cut-to-focus-on-food-production/,2026-05-07 09:14:26,2026-05-07,2026,5,Sugarcane farming cut to focus on food production,[],['Sugar'],0,1,49,8
Kenya News Agency,Coffee revival gains ground,https://www.kenyanews.go.ke/coffee-revival-gains-ground/,2026-05-06 14:16:40,2026-05-07,2026,5,Coffee revival gains ground,[],['Coffee'],0,1,27,4
Kenya News Agency,Young Murang’a women opt for economic independence through farming,https://www.kenyanews.go.ke/young-muranga-women-opt-for-economic-independence-through-farming/,2026-05-06 10:14:25,2026-05-07,2026,5,Young Murang’a women opt for economic independence through farming,[],[],0,0,66,9
Kenya News Agency,Rains choke tomato supply in Kisumu,https://www.kenyanews.go.ke/rains-choke-tomato-supply-in-kisumu/,2026-05-06 10:02:53,2026-05-07,2026,5,Rains choke tomato supply in Kisumu,['Kisumu'],[],1,0,35,6
Kenya News Agency,Kandie launches annual fruition programme to boost farmers’ livelihoods,https://www.kenyanews.go.ke/kandie-launches-annual-fruition-programme-to-boost-farmers-livelihoods/,2026-05-05 12:50:53,2026-05-07,2026,5,Kandie launches annual fruition programme to boost farmers’ livelihoods,[],[],0,0,71,9
Kenya News Agency,Registration delays slow livestock vaccination in Meru County,https://www.kenyanews.go.ke/registration-delays-slow-livestock-vaccination-in-meru-county/,2026-05-05 12:10:05,2026-05-07,2026,5,Registration delays slow livestock vaccination in Meru County,['Meru'],[],1,0,61,8
Kenya News Agency,"Govt outlines reforms in education, health, economy sectors",https://www.kenyanews.go.ke/govt-outlines-reforms-in-education-health-economy-sectors/,2026-05-04 17:55:23,2026-05-07,2026,5,"Govt outlines reforms in education, health, economy sectors",[],[],0,0,59,8
Kenya News Agency,Mandera trains 20 lead farmers to strengthen grassroots agricultural support,https://www.kenyanews.go.ke/mandera-trains-20-lead-farmers-to-strengthen-grassroots-agricultural-support/,2026-05-03 13:11:51,2026-05-07,2026,5,Mandera trains 20 lead farmers to strengthen grassroots agricultural support,['Mandera'],[],1,0,76,10
Kenya News Agency,Farmers urged to boost cotton production to sustain new ginnery,https://www.kenyanews.go.ke/farmers-urged-to-boost-cotton-production-to-sustain-new-ginnery/,2026-05-02 18:41:26,2026-05-07,2026,5,Farmers urged to boost cotton production to sustain new ginnery,[],[],0,0,63,10
Kenya News Agency,Molo dairy farmers urged to go high-tech for higher yields,https://www.kenyanews.go.ke/molo-dairy-farmers-urged-to-go-high-tech-for-higher-yields/,2026-05-02 16:25:44,2026-05-07,2026,5,Molo dairy farmers urged to go high-tech for higher yields,[],[],0,0,58,10
