source,title_clean,date,url,vader_sentiment,vader_score,topic_cluster,topic_label,counties_mentioned,commodities_mentioned
Kenya News Agency,Sugarcane farming cut to focus on food production,2026-05-07 09:14:26,https://www.kenyanews.go.ke/sugarcane-farming-cut-to-focus-on-food-production/,Negative,-0.2732,5,General Farming & Seeds,[],['Sugar']
Kenya News Agency,Coffee revival gains ground,2026-05-06 14:16:40,https://www.kenyanews.go.ke/coffee-revival-gains-ground/,Positive,0.34,5,General Farming & Seeds,[],['Coffee']
Kenya News Agency,Young Murang’a women opt for economic independence through farming,2026-05-06 10:14:25,https://www.kenyanews.go.ke/young-muranga-women-opt-for-economic-independence-through-farming/,Neutral,0.0,5,General Farming & Seeds,[],[]
Kenya News Agency,Rains choke tomato supply in Kisumu,2026-05-06 10:02:53,https://www.kenyanews.go.ke/rains-choke-tomato-supply-in-kisumu/,Negative,-0.5423,5,General Farming & Seeds,['Kisumu'],[]
Kenya News Agency,Kandie launches annual fruition programme to boost farmers’ livelihoods,2026-05-05 12:50:53,https://www.kenyanews.go.ke/kandie-launches-annual-fruition-programme-to-boost-farmers-livelihoods/,Positive,0.5574,1,Government Programmes,[],[]
Kenya News Agency,Registration delays slow livestock vaccination in Meru County,2026-05-05 12:10:05,https://www.kenyanews.go.ke/registration-delays-slow-livestock-vaccination-in-meru-county/,Neutral,0.0,0,Livestock & Disease,['Meru'],[]
Kenya News Agency,"Govt outlines reforms in education, health, economy sectors",2026-05-04 17:55:23,https://www.kenyanews.go.ke/govt-outlines-reforms-in-education-health-economy-sectors/,Neutral,0.0,3,Dairy & Macadamia,[],[]
Kenya News Agency,Mandera trains 20 lead farmers to strengthen grassroots agricultural support,2026-05-03 13:11:51,https://www.kenyanews.go.ke/mandera-trains-20-lead-farmers-to-strengthen-grassroots-agricultural-support/,Positive,0.6124,5,General Farming & Seeds,['Mandera'],[]
Kenya News Agency,Farmers urged to boost cotton production to sustain new ginnery,2026-05-02 18:41:26,https://www.kenyanews.go.ke/farmers-urged-to-boost-cotton-production-to-sustain-new-ginnery/,Positive,0.4019,4,Soil & Yield Improvement,[],[]
Kenya News Agency,Molo dairy farmers urged to go high-tech for higher yields,2026-05-02 16:25:44,https://www.kenyanews.go.ke/molo-dairy-farmers-urged-to-go-high-tech-for-higher-yields/,Neutral,0.0,4,Soil & Yield Improvement,[],[]
Kenya News Agency,Flower farming chemicals blamed for rising cases of ENT in Naivasha,2026-05-02 15:33:39,https://www.kenyanews.go.ke/flower-farming-chemicals-blamed-for-rising-cases-of-ent-in-naivasha/,Negative,-0.4767,5,General Farming & Seeds,[],[]
Kenya News Agency,Dry maize stocks steady as prices fluctuate,2026-05-02 13:58:10,https://www.kenyanews.go.ke/dry-maize-stocks-steady-as-prices-fluctuate/,Neutral,0.0,5,General Farming & Seeds,[],"['Maize', 'Rice', 'Tea']"
Kenya News Agency,Farmers field school launched in Turkana West,2026-05-02 13:52:41,https://www.kenyanews.go.ke/farmers-field-school-launched-in-turkana-west/,Positive,0.128,5,General Farming & Seeds,['Turkana'],[]
Kenya News Agency,"Govt distributes 5,000 coffee seedlings in Igembe South",2026-05-01 16:44:59,https://www.kenyanews.go.ke/govt-distributes-5000-coffee-seedlings-in-igembe-south/,Neutral,0.0,3,Dairy & Macadamia,[],['Coffee']
