date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2025-03-15,Coast,Kilifi,Matanomanne,10392,-3.4,39.78,cereals and tubers,Maize flour (white),134,KG,actual,Retail,KES,81.0,0.63
2025-03-15,Coast,Kilifi,Matanomanne,10392,-3.4,39.78,cereals and tubers,Wheat flour,58,KG,actual,Retail,KES,88.0,0.68
2025-03-15,Coast,Kilifi,Matanomanne,10392,-3.4,39.78,miscellaneous food,Salt,185,200 G,actual,Retail,KES,10.0,0.077
2025-03-15,Coast,Kilifi,Matanomanne,10392,-3.4,39.78,miscellaneous food,Sugar,97,KG,actual,Retail,KES,160.0,1.24
2025-03-15,Coast,Kilifi,Matanomanne,10392,-3.4,39.78,oil and fats,"Oil (vegetable, fortified)",494,L,actual,Retail,KES,280.0,2.17
2025-03-15,Coast,Kilifi,Matanomanne,10392,-3.4,39.78,pulses and nuts,Cowpeas (dry),901,KG,actual,Retail,KES,100.0,0.77
2025-03-15,Coast,Kilifi,Matanomanne,10392,-3.4,39.78,pulses and nuts,Pigeon peas (dry),937,KG,actual,Retail,KES,170.0,1.32
2025-03-15,Coast,Tana River,Bangale,10438,-0.72,39.02,cereals and tubers,"Maize (white, dry)",440,KG,actual,Retail,KES,64.0,0.5
2025-03-15,Coast,Tana River,Bangale,10438,-0.72,39.02,milk and dairy,"Milk (cow, pasteurized)",472,L,actual,Retail,KES,140.0,1.08
2025-03-15,Coast,Tana River,Bangale,10438,-0.72,39.02,miscellaneous food,Sugar,97,KG,actual,Retail,KES,152.0,1.18
2025-03-15,Coast,Tana River,Bangale,10438,-0.72,39.02,pulses and nuts,Beans,50,KG,actual,Retail,KES,147.0,1.14
2025-03-15,Coast,Tana River,Bangale,10438,-0.72,39.02,pulses and nuts,Cowpeas (dry),901,KG,actual,Retail,KES,180.0,1.39
2025-03-15,Coast,Tana River,Bangale,10438,-0.72,39.02,vegetables and fruits,Kale,796,KG,actual,Retail,KES,60.0,0.46
2025-03-15,Coast,Tana River,Bangale,10438,-0.72,39.02,vegetables and fruits,Spinach,404,KG,actual,Retail,KES,60.0,0.46
2025-03-15,Coast,Tana River,Bura,10442,-1.19,39.84,cereals and tubers,"Maize (white, dry)",440,KG,actual,Retail,KES,61.0,0.47
2025-03-15,Coast,Tana River,Bura,10442,-1.19,39.84,cereals and tubers,Wheat flour,58,KG,actual,Retail,KES,99.0,0.77
2025-03-15,Coast,Tana River,Bura,10442,-1.19,39.84,miscellaneous food,Salt,185,200 G,actual,Retail,KES,10.0,0.077
2025-03-15,Coast,Tana River,Bura,10442,-1.19,39.84,oil and fats,"Oil (vegetable, fortified)",494,L,actual,Retail,KES,291.0,2.25
2025-03-15,Coast,Tana River,Bura,10442,-1.19,39.84,pulses and nuts,Cowpeas (dry),901,KG,actual,Retail,KES,160.0,1.24
2025-03-15,Coast,Tana River,Bura,10442,-1.19,39.84,vegetables and fruits,Kale,796,KG,actual,Retail,KES,60.0,0.46
2025-03-15,Coast,Tana River,Bura,10442,-1.19,39.84,vegetables and fruits,Spinach,404,KG,actual,Retail,KES,70.0,0.54
2025-03-15,Coast,Tana River,Charidende,10443,-0.78,39.67,cereals and tubers,"Maize (white, dry)",440,KG,actual,Retail,KES,70.0,0.54
2025-03-15,Coast,Tana River,Charidende,10443,-0.78,39.67,milk and dairy,"Milk (cow, pasteurized)",472,L,actual,Retail,KES,140.0,1.08
2025-03-15,Coast,Tana River,Charidende,10443,-0.78,39.67,miscellaneous food,Salt,185,200 G,actual,Retail,KES,11.0,0.085
2025-03-15,Coast,Tana River,Charidende,10443,-0.78,39.67,miscellaneous food,Sugar,97,KG,actual,Retail,KES,149.0,1.15
2025-03-15,Coast,Tana River,Charidende,10443,-0.78,39.67,oil and fats,"Oil (vegetable, fortified)",494,L,actual,Retail,KES,283.0,2.19
2025-03-15,Coast,Tana River,Charidende,10443,-0.78,39.67,pulses and nuts,Beans,50,KG,actual,Retail,KES,154.0,1.19
2025-03-15,Coast,Tana River,Garsen,10448,-2.27,40.11,cereals and tubers,Wheat flour,58,KG,actual,Retail,KES,91.5,0.71
2025-03-15,Coast,Tana River,Garsen,10448,-2.27,40.11,miscellaneous food,Salt,185,200 G,actual,Retail,KES,13.0,0.1
2025-03-15,Coast,Tana River,Garsen,10448,-2.27,40.11,miscellaneous food,Sugar,97,KG,actual,Retail,KES,147.0,1.14
2025-03-15,Coast,Tana River,Garsen,10448,-2.27,40.11,pulses and nuts,Beans,50,KG,actual,Retail,KES,161.5,1.25
2025-03-15,Coast,Tana River,Hola town,3359,-1.5,40.03,cereals and tubers,Maize flour (white),134,KG,actual,Retail,KES,89.5,0.69
2025-03-15,Coast,Tana River,Hola town,3359,-1.5,40.03,cereals and tubers,Rice (aromatic),894,KG,actual,Retail,KES,120.0,0.93
2025-03-15,Coast,Tana River,Hola town,3359,-1.5,40.03,cereals and tubers,Wheat flour,58,KG,actual,Retail,KES,97.0,0.75
2025-03-15,Coast,Tana River,Hola town,3359,-1.5,40.03,miscellaneous food,Salt,185,200 G,actual,Retail,KES,14.0,0.11
2025-03-15,Coast,Tana River,Hola town,3359,-1.5,40.03,miscellaneous food,Sugar,97,KG,actual,Retail,KES,159.0,1.23
2025-03-15,Coast,Tana River,Hola town,3359,-1.5,40.03,pulses and nuts,Cowpeas (dry),901,KG,actual,Retail,KES,135.0,1.05
2025-03-15,Coast,Tana River,Hola town,3359,-1.5,40.03,pulses and nuts,Pigeon peas (dry),937,KG,actual,Retail,KES,150.0,1.16
2025-03-15,Coast,Tana River,Hola town,3359,-1.5,40.03,vegetables and fruits,Kale,796,KG,actual,Retail,KES,50.0,0.39
