date,overall_cpi,yoy_inflation,type
2020-02-01,107.17,7.17,Historical
2020-03-01,107.48,5.84,Historical
2020-04-01,108.5,6.01,Historical
2020-05-01,108.6,5.33,Historical
2020-06-01,108.27,4.59,Historical
2020-07-01,108.35,4.36,Historical
2020-08-01,108.57,4.36,Historical
2020-09-01,108.57,4.2,Historical
2020-10-01,109.6,4.84,Historical
2020-11-01,110.78,5.33,Historical
2020-12-01,111.91,5.6,Historical
2021-01-01,112.67,5.7,Historical
2021-02-01,113.81,5.76,Historical
2021-03-01,114.75,6.14,Historical
2021-04-01,115.56,5.97,Historical
2021-05-01,116.15,6.13,Historical
2021-06-01,116.74,6.3,Historical
2021-07-01,117.08,6.57,Historical
2021-08-01,117.89,7.08,Historical
2021-09-01,118.46,7.91,Historical
2021-10-01,119.15,8.3,Historical
2021-11-01,120.18,8.55,Historical
2021-12-01,121.23,8.96,Historical
2022-01-01,122.46,9.1,Historical
2022-02-01,123.57,9.23,Historical
2022-03-01,124.89,9.56,Historical
2022-04-01,126.12,9.1,Historical
2022-05-01,127.46,8.9,Historical
2022-06-01,128.23,8.56,Historical
2022-07-01,129.57,8.1,Historical
2022-08-01,130.23,7.8,Historical
2022-09-01,131.46,7.5,Historical
2022-10-01,132.57,7.1,Historical
2022-11-01,133.23,6.8,Historical
2022-12-01,134.46,6.5,Historical
2023-01-01,135.23,6.2,Historical
2023-02-01,136.46,5.9,Historical
2023-03-01,137.23,5.6,Historical
2023-04-01,138.46,4.4,Historical
2023-05-01,139.87,3.6,Historical
2023-06-01,140.13,2.7,Historical
2023-07-01,140.44,2.8,Historical
2023-08-01,140.81,3.0,Historical
2023-09-01,141.66,3.3,Historical
2023-10-01,142.68,3.5,Historical
2023-11-01,143.12,3.6,Historical
2023-12-01,143.69,4.1,Historical
2024-01-01,144.09,3.8,Historical
2024-02-01,144.88,3.5,Historical
2025-06-01,145.01,,Forecast
2025-07-01,145.04,,Forecast
2025-08-01,145.03,,Forecast
2025-09-01,145.3,,Forecast
2025-10-01,145.9,,Forecast
2025-11-01,146.36,,Forecast
2025-12-01,147.09,,Forecast
2026-01-01,147.67,,Forecast
